nupam,mi estómago
qapop,nuestro petate
xepax,se reventaron
nukej,mi caballo
qakok,nuestra tortuga
xekos,se cansaron
naqaj,cerca
qaqän,nuestros pies
xeqa,se bajaron
nuchaj,mi ceniza
qachum,nuestra cal
xechap,fueron agarrados
nub'ix,mi canción
qab'aq,nuestro hueso
xub'ij,él lo dijo
nik'aj,mitad (medio)
qak'as,nuestra deuda
xek'is,terminaron
nuq'ij,mi día
xeq'aj,fueron quebrados
xeq'ax,pasaron
nuch'op,mi piña
qach'at,nuestra cama
xech'ay,fueron pegados
ti'oj,gordo
ko'öl,pequeño
pa'äl,estar de pie
chiköp,animal
ruxaq,su hoja
xutïk,lo sembró
nukuk,mi ardilla
sanïk,hormiga
xesok,fueron cortados
nulaq,mi plato
xemuq,fueron enterrados
xetzaq,se cayeron
chakäch,canasta
xesach,fueron perdidos
xuküch,lo cubrió
xajab',zapato (sandalia)
rusib',su humo
rukab',su azucar
nusik',mi cigarro
ruxik',su ala
xujök',lo molió
kinäq',frijol
xemeq',fueron calentados
xojoq',lloramos
xujüch',lo rayó
xejach',fueron tapiscados
rukach',su chicle
nuche',mi árbol
nuya',mi agua
rute',su mamá
b'ojo'y,olla
rune'y,su bebé
rupo't,su güipil
